sample_ID,EVA_content,Polymer_A,Polymer_B,FR_A,FR_B,FR_C,FR_D,Additive_1,Additive_2,LOI,UL_94,Transmittance,Haze,UL94_score
F030,58.1,10,10,6.3,2.2,7.1,4.3,0.8,1.2,25.9,V-2,79.2,42.0,1
F031,53.0,15,0,12.4,4.2,6.5,4.9,2.4,1.6,27.3,V-1,70.1,64.0,2
F032,76.0,0,0,10.3,7.0,3.7,3.0,0.0,0.0,28.8,V-1,76.0,49.9,2
F033,80.0,10,0,4.7,1.8,1.4,0.1,1.7,0.3,21.4,NR,89.0,19.5,0
F034,56.1,10,20,0.5,1.8,2.0,3.6,5.1,0.9,23.3,NR,84.7,26.7,0
F035,67.0,10,5,4.6,0.7,7.7,3.0,0.8,1.2,22.5,NR,80.2,31.8,0
F036,74.9,0,5,4.7,7.6,2.3,5.5,0.0,0.0,25.8,V-2,79.9,41.5,1
F037,66.0,0,10,16.1,3.2,3.7,1.0,0.0,0.0,28.5,V-1,75.2,45.1,2
F038,76.0,0,10,3.9,4.0,1.8,2.3,1.8,0.2,23.1,NR,84.8,25.1,0
F039,50.0,10,20,5.4,7.5,2.3,4.8,0.0,0.0,28.5,V-2,76.6,38.6,1
F040,70.1,5,15,1.0,3.8,2.5,0.6,2.0,0.0,21.5,NR,87.5,18.3,0
F041,70.1,0,10,7.3,5.4,4.9,2.3,0.0,0.0,25.2,V-2,79.1,32.8,1
F042,46.0,10,20,0.5,5.8,1.7,12.0,3.6,0.4,26.1,V-2,79.3,46.1,1
F043,48.0,20,0,3.3,10.2,12.7,1.8,3.4,0.6,29.0,V-1,68.3,64.7,2
F044,71.0,15,0,3.6,5.5,2.5,0.4,0.8,1.2,23.3,NR,83.3,31.0,0
F045,60.0,0,20,7.9,4.0,7.3,0.8,0.0,0.0,27.1,V-2,77.6,36.9,1
F046,54.0,10,20,7.0,4.6,1.9,2.5,0.0,0.0,25.9,V-2,80.6,34.5,1
F047,66.9,0,15,5.1,5.2,1.1,4.7,1.3,0.7,24.2,V-2,82.2,34.7,1
F048,62.0,0,20,1.7,5.2,1.9,3.2,4.6,1.4,24.3,V-2,83.0,37.3,1
F049,56.0,10,10,4.1,8.8,6.4,4.7,0.0,0.0,27.0,V-2,74.3,43.8,1
F050,60.0,5,5,7.1,6.4,4.7,9.8,0.8,1.2,27.3,V-2,71.7,56.2,1
F051,54.9,10,5,7.7,15.5,3.6,1.3,1.9,0.1,30.5,V-1,69.6,69.1,2
F052,78.0,0,10,3.4,2.4,2.1,0.1,3.5,0.5,22.0,NR,86.4,20.9,0
F053,60.0,0,20,6.6,4.9,7.1,1.4,0.0,0.0,26.5,V-2,79.1,39.5,1
F054,60.0,15,5,1.5,11.2,2.8,0.5,3.2,0.8,26.2,V-2,78.9,42.0,1
F055,60.0,5,15,4.0,4.0,2.8,5.2,3.2,0.8,24.5,V-2,79.4,39.3,1
F056,49.9,10,20,8.6,5.1,1.9,0.5,3.4,0.6,27.8,V-2,79.0,41.4,1
F057,72.0,10,10,6.7,0.7,0.0,0.6,0.0,0.0,22.4,NR,86.5,13.2,0
F058,69.9,20,0,0.2,7.6,0.2,0.1,1.8,0.2,22.6,NR,83.7,22.2,0
F059,72.0,5,5,7.5,1.1,2.8,4.6,1.9,0.1,23.2,NR,81.6,29.2,0
F060,73.0,10,5,1.3,3.9,3.3,3.5,0.0,0.0,22.8,NR,83.3,20.5,0
F061,81.0,0,5,1.0,3.3,2.4,1.3,4.3,1.7,20.8,NR,86.7,28.8,0
F062,51.0,10,5,19.3,3.2,1.4,4.1,4.3,1.7,28.7,V-1,67.3,69.4,2
F063,80.0,5,5,2.4,3.9,1.2,0.5,1.8,0.2,21.4,NR,86.7,19.9,0
F064,48.0,20,10,3.8,10.5,4.8,0.9,1.0,1.0,26.8,V-2,76.2,48.3,1
F065,47.9,20,10,2.9,3.8,9.4,4.0,0.8,1.2,26.2,V-2,75.1,42.8,1
F066,53.0,15,10,6.0,5.0,2.9,6.1,0.8,1.2,25.1,V-2,74.6,42.2,1
F067,70.1,10,0,10.0,4.2,4.4,1.3,0.0,0.0,25.8,V-2,80.4,40.6,1
F068,59.9,15,5,3.8,8.4,6.1,1.8,0.0,0.0,27.0,V-2,80.6,40.0,1
F069,60.0,15,5,10.4,3.2,3.8,2.6,0.0,0.0,26.4,V-2,76.9,37.9,1
F070,65.0,5,10,1.6,6.6,9.3,2.5,0.0,0.0,25.2,V-2,78.2,34.0,1
F071,76.0,10,0,6.2,0.4,0.4,1.0,2.0,4.0,22.4,NR,85.7,29.5,0
F072,70.0,0,10,3.5,5.1,6.4,1.0,2.7,1.3,24.7,V-2,80.3,36.8,1
F073,51.1,15,0,10.4,2.3,3.6,11.6,4.1,1.9,25.8,V-2,70.2,61.8,1
F074,63.0,15,10,1.8,3.9,0.8,5.5,0.0,0.0,22.9,NR,83.0,25.4,0
F075,46.9,10,15,12.0,7.9,1.2,3.0,2.3,1.7,30.5,V-1,71.1,64.3,2
F076,64.0,15,5,5.3,2.7,1.7,2.3,2.0,2.0,23.7,NR,81.8,36.0,0
F077,66.0,0,0,14.6,7.3,4.4,1.7,1.0,5.0,28.6,V-1,71.1,75.7,2
F078,44.0,20,20,2.6,1.9,7.3,4.2,0.0,0.0,26.2,V-2,78.5,30.9,1
F079,67.9,0,20,5.9,2.6,0.7,2.9,0.0,0.0,24.0,NR,84.0,25.3,0
F080,80.0,0,0,1.6,6.2,1.6,6.6,2.3,1.7,24.6,V-2,81.2,41.3,1
F081,79.0,0,5,1.4,4.8,4.7,1.1,2.8,1.2,22.6,NR,82.2,29.9,0
F082,40.0,15,15,8.3,13.1,1.0,1.6,4.1,1.9,30.4,V-1,69.7,74.7,2
F083,79.0,5,0,4.2,2.6,8.7,0.5,0.0,0.0,23.6,NR,83.5,23.7,0
F084,40.1,10,20,2.3,13.5,4.6,7.5,0.7,1.3,29.6,V-1,69.1,62.2,2
F085,52.0,20,20,4.6,1.2,0.8,1.4,0.0,0.0,23.5,NR,84.4,19.8,0
F086,61.1,0,5,9.5,6.7,8.9,2.8,2.9,3.1,28.0,V-1,71.4,71.9,2
F087,71.1,10,5,2.2,3.5,4.9,1.3,0.5,1.5,22.2,NR,82.9,30.3,0
F088,50.1,15,5,6.5,7.8,4.6,5.0,2.1,3.9,29.3,V-1,71.2,60.9,2
F089,69.0,0,15,2.5,4.3,2.2,3.0,1.7,2.3,23.2,NR,83.1,28.6,0
F090,87.0,5,0,2.5,1.9,1.3,2.3,0.0,0.0,20.8,NR,90.7,12.9,0
F091,52.1,15,15,2.1,3.0,5.0,1.8,4.6,1.4,25.7,V-2,79.4,40.5,1
F092,62.1,20,0,3.0,7.1,2.9,2.9,0.8,1.2,24.2,V-2,77.2,37.0,1
F093,59.0,20,5,5.1,2.6,0.5,3.8,2.3,1.7,23.2,NR,81.1,33.6,0
F094,60.1,0,20,5.3,5.9,3.8,0.9,3.8,0.2,26.6,V-2,80.1,41.3,1
F095,64.0,10,10,9.0,0.8,5.6,0.6,0.0,0.0,25.0,V-2,81.6,28.2,1
F096,42.0,20,20,3.5,3.3,8.5,0.7,1.6,0.4,25.8,V-2,76.2,41.1,1
F097,72.0,15,5,2.2,4.1,1.1,0.6,0.0,0.0,22.3,NR,86.8,16.2,0
F098,84.9,5,0,2.6,1.0,1.3,3.2,1.8,0.2,20.6,NR,86.6,14.8,0
F099,54.0,0,20,4.7,2.8,2.7,13.8,1.3,0.7,25.0,V-2,76.2,43.4,1
F100,47.9,15,15,5.0,1.9,6.6,2.6,2.9,3.1,24.5,V-2,76.2,47.5,1
